marka_id,orijinalAdi,gerekce,kategori
hp,HP (Hewlett Packard),"İsrail ordusuna ve polisine, Filistin halkını kontrol eden ID sistemleri de dahil olmak üzere kritik teknoloji hizmetleri ve donanım sağlaması.","Teknoloji & Gözetim"
siemens,Siemens,"İşgal altındaki Filistin topraklarından geçen yasadışı EuroAsia Interconnector elektrik şebekesi projesine katılımı.","Teknoloji & Gözetim"
puma,Puma,"İşgal altındaki Filistin topraklarındaki takımları da içeren İsrail Futbol Federasyonu'nun (IFA) ana sponsoru olması.","Giyim & Spor"
axa,AXA,"İşgal altındaki topraklarda yasadışı yerleşimleri finanse eden İsrail bankalarına yatırım yapması.","Finans & Sigorta"
carrefour,Carrefour,"İsrailli Electra Consumer Products ve yan kuruluşu Yenot Bitan ile bir franchise anlaşması yaparak, işgal altındaki yasadışı yerleşimlerde faaliyet göstermesi.","Perakende & Market"
caterpillar,Caterpillar (CAT),"Zırhlı buldozerlerinin, uluslararası hukuka aykırı bir şekilde, Filistinli evlerin ve tarım alanlarının yıkımında rutin olarak kullanılması.","Ağır Sanayi & İnşaat"
mcdonald's,McDonald's,"İsrail'deki yerel franchise'ının, sosyal medyada genişçe yer bulan, İsrail askerlerine binlerce ücretsiz öğün bağışlaması.","Yiyecek & İçecek"
coca-cola,Coca-Cola,"İsrail'de uzun yıllardır büyük üretim tesislerine sahip olması ve İsrail ekonomisinin önemli bir parçası olması.","Yiyecek & İçecek"
nestle,Nestlé,"İsrail'in en büyük gıda şirketlerinden Osem'in çoğunluk hissesine sahip olması ve İsrail'deki geniş çaplı üretim faaliyetleri.","Yiyecek & İçecek"
danone,Danone,"İsrail ordusuna verdiği destekle bilinen İsrailli gıda devi Strauss Group'a yaptığı önemli yatırımlar ve ortaklıklar.","Yiyecek & İçecek"
google,Google (Alphabet),"'Project Nimbus' adı altında, İsrail hükümeti ve ordusu için, Filistinlilerin gözetlenmesinde kullanılabilecek bulut ve yapay zeka hizmetleri sağlaması.","Teknoloji & Gözetim"
amazon,Amazon (AWS),"'Project Nimbus' kapsamında İsrail hükümetine ve ordusuna kritik bulut altyapısı sağlaması.","Teknoloji & Gözetim"
intel,Intel,"İsrail'in teknoloji ve askeri sanayisinin gelişiminde kritik rol oynayan devasa Ar-Ge merkezlerine ve üretim tesislerine sahip olması.","Teknoloji & Gözetim"
nike,Nike,"İsrail'deki mağazaları ve sponsorlukları aracılığıyla İsrail spor pazarında önemli bir varlığa sahip olması ve normalleşme çabalarına katkıda bulunması.","Giyim & Spor"
l'oreal,L'Oréal,"İsrail'de önemli bir Ar-Ge merkezine sahip olması ve İsrail ekonomisine yaptığı yatırımlar nedeniyle boykot listelerinde yer alması.","Kişisel Bakım & Temizlik"
