kategori,markaAdi,gerekce
Yiyecek & İçecek,McDonald's,"İsrail'deki yerel franchise'ının, sosyal medyada genişçe yer bulan, İsrail askerlerine binlerce ücretsiz öğün bağışlaması."
Yiyecek & İçecek,Starbucks,"CEO'sunun geçmişte İsrail'e verdiği destek ve markanın siyonist lobilerle olan ilişkisi nedeniyle boykot kampanyalarında sıkça yer alması."
Yiyecek & İçecek,Burger King,"İsrail'deki yerel franchise'ının, İsrail askerlerine yönelik gıda bağışı kampanyaları düzenlemesi."
Yiyecek & İçecek,Nescafé,"Nestlé'nin alt markası olarak, İsrail'de faaliyet gösteren Osem üzerinden bölgedeki ekonomik faaliyetlere katkıda bulunması."
Yiyecek & İçecek,Domino's Pizza,"İsrail'deki yerel operasyonlarının, İsrail askerlerine ve yasadışı yerleşim yerlerindeki polislere ücretsiz pizza bağışlaması."
Yiyecek & İçecek,Coca-Cola,"İsrail'de uzun yıllardır büyük üretim tesislerine sahip olması ve İsrail ekonomisinin önemli bir parçası olması."
Yiyecek & İçecek,PepsiCo / Strauss Frito-Lay,"Strauss Group ile ortaklığı ve Sabra Hummus markasının sahibi olması. Strauss'un İsrail ordusuna verdiği destek belgelenmiştir."
Yiyecek & İçecek,Danone,"İsrail ordusuna verdiği destekle bilinen İsrailli gıda devi Strauss Group'a yaptığı önemli yatırımlar ve ortaklıklar."
Yiyecek & İçecek,Nestlé,"İsrail'in en büyük gıda şirketlerinden Osem'in çoğunluk hissesine sahip olması ve İsrail'deki geniş çaplı üretim faaliyetleri."
Yiyecek & İçecek,SodaStream,"Doğrudan İsrailli bir şirket olması ve İsrail ekonomisine önemli katkı sağlaması."
Teknoloji & Gözetim,HP (Hewlett Packard),"İsrail ordusuna ve polisine, Filistin halkını kontrol eden ID sistemleri de dahil olmak üzere kritik teknoloji hizmetleri ve donanım sağlaması."
Teknoloji & Gözetim,Google (Alphabet),"'Project Nimbus' adı altında, İsrail hükümeti ve ordusu için, Filistinlilerin gözetlenmesinde kullanılabilecek bulut ve yapay zeka hizmetleri sağlaması."
Teknoloji & Gözetim,Amazon (AWS),"'Project Nimbus' kapsamında İsrail hükümetine ve ordusuna kritik bulut altyapısı sağlaması."
Teknoloji & Gözetim,Cisco,"İsrail'deki teknoloji merkezlerine yatırımları ve İsrail güvenlik altyapısıyla ortaklıkları."
Teknoloji & Gözetim,IBM,"İsrail'de uzun süredir Ar-Ge faaliyetleri yürütmesi ve askeri teknoloji projelerine katkısı."
Teknoloji & Gözetim,Intel,"İsrail'in teknoloji ve askeri sanayisinin gelişiminde kritik rol oynayan devasa Ar-Ge merkezlerine ve üretim tesislerine sahip olması."
Teknoloji & Gözetim,Microsoft,"İsrail'in teknoloji ekosistemine büyük yatırımlar yapması ve İsrail ordusu için teknoloji çözümleri geliştiren girişimlere destek olması."
Teknoloji & Gözetim,Wix,"İsrail merkezli bir teknoloji şirketi olması ve İsrail'in bir 'startup ülkesi' olarak pazarlanmasında önemli rol oynaması."
Teknoloji & Gözetim,Siemens,"İşgal altındaki Filistin topraklarından geçen yasadışı EuroAsia Interconnector elektrik şebekesi projesine katılımı."
Giyim & Spor,Puma,"İşgal altındaki Filistin topraklarındaki takımları da içeren İsrail Futbol Federasyonu'nun (IFA) ana sponsoru olması."
Giyim & Spor,Timberland,"Ana şirketi VF Corporation’ın İsrail'deki operasyonları ve İsrail ordusuna dolaylı destek iddiaları."
Giyim & Spor,Nike,"İsrail'deki mağazaları ve sponsorlukları aracılığıyla İsrail spor pazarında önemli bir varlığa sahip olması ve normalleşme çabalarına katkıda bulunması."
Giyim & Spor,Adidas,"Geçmişte İsrail Futbol Federasyonu'na sponsor olması ve İsrail'deki geniş ticari faaliyetleri nedeniyle eleştirilmesi."
Kişisel Bakım & Temizlik,Colgate-Palmolive (Hacı Şakir),"Sahibi olduğu Colgate-Palmolive şirketinin İsrail'de üretim tesisi bulunması ve İsrail pazarına yatırım yapması. Hacı Şakir markası bu global şirkete aittir."
Kişisel Bakım & Temizlik,L'Oréal,"İsrail'de önemli bir Ar-Ge merkezine sahip olması ve İsrail ekonomisine yaptığı yatırımlar nedeniyle boykot listelerinde yer alması."
Kişisel Bakım & Temizlik,Estée Lauder,"Kurucusunun ve yönetiminin İsrail'e yönelik uzun süreli ve açık finansal/politik desteği ile bilinmesi."
Kişisel Bakım & Temizlik,Dove,"Unilever’e ait bir marka olarak İsrail’de doğrudan üretim ve dağıtım faaliyetlerinde bulunması."
Kişisel Bakım & Temizlik,Johnson & Johnson,"İsrail'de güçlü bir kurumsal varlığa, Ar-Ge merkezlerine ve üretim tesislerine sahip olması."
Finans & Sigorta,AXA,"İşgal altındaki topraklarda yasadışı yerleşimleri finanse eden İsrail bankalarına yatırım yapması."
Finans & Sigorta,Allianz,"İsrail’e yatırım yapan finansal kurumlarla bağlantıları ve hissedar ilişkileri nedeniyle eleştirilmesi."
Finans & Sigorta,Bank Leumi & Bank Hapoalim,"Yasadışı İsrail yerleşimlerinin finansmanında ve genişlemesinde doğrudan rol oynayan en büyük İsrail bankaları olmaları."
